Id,Ranking,Title,Rating
0111161,1,The Shawshank Redemption (1994),9.3
0068646,2,The Godfather (1972),9.2
0468569,3,The Dark Knight (2008),9.0
0071562,4,The Godfather: Part II (1974),9.0
0050083,5,12 Angry Men (1957),9.0
0108052,6,Schindler's List (1993),9.0
0167260,7,The Lord of the Rings: The Return of the King (2003),9.0
0110912,8,Pulp Fiction (1994),8.9
0120737,9,The Lord of the Rings: The Fellowship of the Ring (2001),8.8
0060196,10,"Il buono, il brutto, il cattivo (1966)",8.8
0109830,11,Forrest Gump (1994),8.8
0137523,12,Fight Club (1999),8.8
0167261,13,The Lord of the Rings: The Two Towers (2002),8.8
1375666,14,Inception (2010),8.8
0080684,15,The Empire Strikes Back (1980),8.7
0133093,16,The Matrix (1999),8.7
0099685,17,Goodfellas (1990),8.7
0073486,18,One Flew Over the Cuckoo's Nest (1975),8.7
9362722,19,Spider-Man: Across the Spider-Verse (2023),8.7
0114369,20,Se7en (1995),8.6
0038650,21,It's a Wonderful Life (1946),8.6
0047478,22,Shichinin no samurai (1954),8.6
0102926,23,The Silence of the Lambs (1991),8.6
0816692,24,Interstellar (2014),8.7
0120815,25,Saving Private Ryan (1998),8.6
0317248,26,Cidade de Deus (2002),8.6
0118799,27,La Vita è bella (1997),8.6
0120689,28,The Green Mile (1999),8.6
0076759,29,Star Wars (1977),8.6
0103064,30,Terminator 2: Judgment Day (1991),8.6
0088763,31,Back to the Future (1985),8.5
0245429,32,Sen to Chihiro no kamikakushi (2001),8.6
0253474,33,The Pianist (2002),8.5
0054215,34,Psycho (1960),8.5
6751668,35,Gisaengchung (2019),8.5
0172495,36,Gladiator (2000),8.5
0110357,37,The Lion King (1994),8.5
0110413,38,Léon (1994),8.5
0120586,39,American History X (1998),8.5
0407887,40,The Departed (2006),8.5
2582802,41,Whiplash (2014),8.5
0482571,42,The Prestige (2006),8.5
15398776,43,Oppenheimer (2023),8.6
0114814,44,The Usual Suspects (1995),8.5
0095327,45,Hotaru no haka (1988),8.5
0056058,46,Seppuku (1962),8.6
0034583,47,Casablanca (1942),8.5
1675434,48,Intouchables (2011),8.5
0027977,49,Modern Times (1936),8.5
0095765,50,Nuovo Cinema Paradiso (1988),8.5
0064116,51,C'era una volta il West (1968),8.5
0047396,52,Rear Window (1954),8.5
0078748,53,Alien (1979),8.5
